ulasan,rating_bintang,sentimen
"pelayanan sangat ramah . banyak diskon melimpah 🤗🤗🤗",5,positif
"Pelayanan terbaik.... Mbak e seru",5,positif
"Wajib repeat order, hrga terjangkau, pelayanan cepat",5,positif
"Aksesoris lengkap untuk semua tipe handphone anda",5,positif
"Makasih masnya pelayanan masih tetap istimewa 😉",5,positif
"Pelayanannya baguss bangettt😍",5,positif
"Pelayanan ramah barang lengkap",5,positif
"Pelayan bagus ramah mbak e cantik cantik",5,positif
"Barang bagus dan pelayanan oke",5,positif
"Pelayanan ramah, koleksi lengkap 👍",5,positif
"Terus dengan pelayanan terbaik 👍💯",5,positif
"Pelayanan ramahh banget",5,positif
"Bagus dan lengkap",5,positif
"Sangat puas Pelayanan ramah🤭",5,positif
"Pelayanan baik dan tidak membuat pelanggan kecewa",5,positif
"Barang berkualaitas dan harga bersahabat 😋👌",5,positif
"Pelayanan ramah terbaik jos",5,positif
"Pelayanannya memuaskan.....",5,positif
"pelayanan sangat memuaskan",5,positif
"pelayanan,harga memuaskan",5,positif
"Mantap banger jos",5,positif
"Ok mantap . Semua terlayani dengan baik .",5,positif
"Bagus banget pelayanannya",5,positif
"Selalu dengan pelayanan terbaik 🥰🥰",5,positif
"Mantap pelayanan nya",5,positif
"Barangnya bagus",5,positif
"Toko lengkap & pelahanannya ramah",5,positif
"Mantappp pelayanannya jos",5,positif
"Mendapat diskon 25%",5,positif
"Semoga lancar berkembang🥰",5,positif
"sudah bagus pelayanan nya juga bagus",5,positif
"Mantap mbaknya cuantik 😍😍",5,positif
"Mantap layanannya bos",5,positif
"pelayanannya baik",5,positif
"Sangat puas dengan pelayanannya",5,positif
"Pelayanan yang sangat baik",5,positif
"Ramah dan bisa diandalkan",5,positif
"Pelayanan sangat ramah",5,positif
"Kualitas oke",5,positif
"Tempat ini jual asosiasi Hp 2 hari yg lalu membelikan taperglas A 03 S",5,positif
"Mari saudara teman2 pinarak warung rasa jaya depan sd1 gadang juga terima pesanan",5,positif
"Mantap jos",5,positif
"Begitu masuk toko di sambut dengan pelayanan yg cukup ramah dan menyenangkan",5,positif
"Layanan ramah",5,positif
"sangat bagus",5,positif
"keren",5,positif
"puas",5,positif
"mantap",5,positif
"Aksesoris smartphone cukup lengkap, pelayanan ramah",5,positif
"mantap jos",5,positif
"Aksesoris nya lengkap, penjualnya ramah",5,positif
"Lengkap, barang banyak pilihan, pegawainya ramah,,",5,positif
"Pelayanan yg ramah...",5,positif
"Cukup terjangkau harga dan tempatnya",5,positif
"Gercep. Murah",5,positif
"Harga terjangkau",5,positif
"Pelayanan ok",5,positif
"Lengkap semua da harga murah",5,positif
"Barang nya komplet",5,positif
"Minta no counternya yanng bisa dihubungin",5,positif
"Kemaren habis beli headset dsni",5,positif
"Aksesoris hp nya lengkap",5,positif
"👍",5,positif
"Lumayan bagus dan ramah",5,positif
"Case nyaa lengkap",5,positif
"Pelayanan mantab !",5,positif
"Acc termurah dan terkengkap",5,positif
"Sangat oke",5,positif
"Deket kopi studio yakan",5,positif
"Beli silicon HP",5,positif
"😊😊😊😊😊",5,positif
"Baik",5,positif
"pernah beli",5,positif
"Komplit",5,positif
"Pelayanan sip",5,positif
"nyaman",5,positif
"Lumayan",5,positif
"BANYAK DISKON",5,positif
"Nice store",5,positif
"Good",5,positif
"Ok",5,positif
"sip sip sip sip sip",5,positif
"Nice place",5,positif
"Sipp",5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
"Good",5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
,5,positif
"Pelayanan bagus sangat puas",4,positif
"kayanya sieh toko jualan aksesories hp terlengkap.. kaya misalnya barang jadul.. nah disitu masih tersedia stock nya.. harga murah.. tapi ga murahan..",4,positif
"jika butuh accessories hp, kesini aja, banyak pilihan dan harga sesuai",4,positif
"Harga lumayan miring n cukup komplit aksesorisnya 👍",4,positif
"pelayanannya baik dan cepat",4,positif
"Aksesoris handphone yang lumayan komplit.. 👍",4,positif
"Cukup lenkap asesorisnya, ramah",4,positif
"Boleh lah",4,positif
"Sepi tapi",4,positif
"Aksesoris hp...",4,positif
"cheap and complete. Serving the installation of tempered glass with a variety of options",4,positif
"Bagus banget",4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
,4,positif
"Pas buat belanja aksesori hp....",3,netral
"Aksesoris bukan ori",3,netral
"Kurang lengkap....",3,netral
"Kurang lengkap",3,netral
,3,netral
,3,netral
,3,netral
,3,netral
,3,netral
,3,netral
"beli charge kok bisa di dalam kotaknya banyak semut merahnya, bikin ga awet kabel aja. udah di buang tempatnya",1,negatif
"Pasang screen guard ga bener",1,negatif
"buka jam berapa si jam 10 aja belom buka balik lagi jam 1 masih belum buka haduh",1,negatif
,1,negatif
,1,negatif
,1,negatif
,1,negatif
,1,negatif
